id,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours
7899,single,sometimes,yes,4.0,school_bus,> 10
7900,divorced,regularly,yes,0.0,school_bus,5 - 10
7901,married,sometimes,yes,1.0,school_bus,> 10
7902,married,sometimes,no,3.0,private,5 - 10
7903,married,sometimes,no,2.0,,< 5
7904,divorced,sometimes,no,1.0,private,< 5
7905,married,regularly,yes,4.0,school_bus,> 10
7906,,sometimes,,,school_bus,5 - 10
7907,married,,no,1.0,school_bus,5 - 10
7908,married,regularly,yes,5.0,,5 - 10
7909,,regularly,yes,2.0,private,5 - 10
7910,single,sometimes,yes,2.0,private,5 - 10
7911,divorced,sometimes,no,1.0,school_bus,5 - 10
7912,married,sometimes,yes,2.0,private,5 - 10
7913,divorced,sometimes,yes,1.0,school_bus,5 - 10
7914,divorced,,no,2.0,private,5 - 10
7915,single,sometimes,yes,1.0,,5 - 10
7916,married,never,no,1.0,school_bus,< 5
7917,widowed,sometimes,yes,1.0,private,< 5
7918,married,regularly,yes,2.0,private,5 - 10
7919,married,sometimes,yes,3.0,school_bus,5 - 10
7920,married,sometimes,yes,3.0,private,5 - 10
7921,single,sometimes,yes,2.0,private,5 - 10
7922,married,regularly,no,2.0,school_bus,5 - 10
7923,married,sometimes,yes,4.0,school_bus,< 5
7924,married,sometimes,yes,7.0,private,5 - 10
7925,divorced,regularly,no,3.0,school_bus,< 5
7926,divorced,sometimes,yes,3.0,private,< 5
7927,married,sometimes,,2.0,private,< 5
7928,married,sometimes,yes,1.0,private,5 - 10
7929,married,sometimes,no,4.0,school_bus,< 5
7930,widowed,sometimes,yes,4.0,school_bus,5 - 10
7931,married,regularly,yes,,school_bus,5 - 10
7932,married,sometimes,no,1.0,private,5 - 10
7933,single,regularly,no,6.0,private,5 - 10
7934,single,regularly,yes,2.0,private,< 5
7935,single,never,yes,3.0,private,5 - 10
7936,married,sometimes,no,2.0,school_bus,< 5
7937,divorced,regularly,yes,4.0,,5 - 10
7938,married,sometimes,yes,5.0,school_bus,> 10
7939,divorced,sometimes,no,1.0,school_bus,5 - 10
7940,divorced,regularly,yes,7.0,school_bus,5 - 10
7941,divorced,sometimes,yes,3.0,private,5 - 10
7942,single,regularly,yes,1.0,,< 5
7943,married,never,yes,2.0,school_bus,> 10
7944,single,never,no,2.0,,< 5
7945,,sometimes,no,3.0,school_bus,> 10
7946,divorced,never,yes,1.0,school_bus,5 - 10
7947,divorced,sometimes,yes,2.0,school_bus,5 - 10
7948,,regularly,yes,0.0,school_bus,5 - 10
7949,married,regularly,yes,4.0,private,5 - 10
7950,married,never,yes,2.0,school_bus,5 - 10
7951,married,regularly,yes,0.0,school_bus,
7952,widowed,never,yes,3.0,school_bus,5 - 10
7953,single,sometimes,yes,1.0,school_bus,< 5
7954,married,regularly,no,4.0,school_bus,> 10
7955,married,never,yes,1.0,private,5 - 10
7956,married,regularly,no,3.0,private,5 - 10
7957,single,sometimes,yes,1.0,private,< 5
7958,married,regularly,yes,2.0,,< 5
7959,married,regularly,yes,0.0,private,> 10
7960,married,sometimes,no,1.0,,5 - 10
7961,divorced,never,no,1.0,private,< 5
7962,married,regularly,yes,2.0,school_bus,5 - 10
7963,married,sometimes,yes,4.0,,5 - 10
7964,married,regularly,no,2.0,private,< 5
7965,married,regularly,yes,1.0,school_bus,5 - 10
7966,widowed,regularly,yes,4.0,school_bus,5 - 10
7967,married,regularly,yes,3.0,school_bus,< 5
7968,married,regularly,no,,school_bus,> 10
7969,divorced,sometimes,yes,2.0,private,> 10
7970,married,never,yes,1.0,private,5 - 10
7971,divorced,sometimes,no,7.0,private,> 10
7972,married,sometimes,yes,3.0,private,5 - 10
7973,married,sometimes,yes,2.0,,< 5
7974,divorced,regularly,no,1.0,private,< 5
7975,married,regularly,yes,3.0,school_bus,< 5
7976,single,never,no,3.0,private,5 - 10
7977,married,regularly,yes,3.0,school_bus,5 - 10
7978,married,sometimes,yes,3.0,school_bus,5 - 10
7979,divorced,regularly,yes,2.0,private,> 10
7980,,sometimes,no,1.0,private,< 5
7981,married,sometimes,yes,4.0,private,
7982,married,regularly,no,2.0,,5 - 10
7983,married,sometimes,no,,private,5 - 10
7984,married,never,no,,school_bus,5 - 10
7985,single,sometimes,no,2.0,private,< 5
7986,single,never,yes,3.0,school_bus,> 10
7987,married,regularly,yes,0.0,school_bus,5 - 10
7988,married,never,yes,0.0,school_bus,5 - 10
7989,single,sometimes,yes,1.0,private,5 - 10
7990,married,regularly,yes,2.0,private,> 10
7991,married,sometimes,yes,4.0,private,5 - 10
7992,married,regularly,yes,2.0,school_bus,> 10
7993,married,sometimes,no,3.0,private,> 10
7994,,regularly,no,3.0,school_bus,5 - 10
7995,married,regularly,yes,2.0,private,5 - 10
7996,married,regularly,no,4.0,private,5 - 10
7997,married,regularly,yes,3.0,,> 10
7998,married,sometimes,no,2.0,school_bus,> 10
7999,divorced,never,no,3.0,school_bus,5 - 10
8000,single,sometimes,yes,1.0,private,5 - 10
8001,married,sometimes,yes,0.0,,5 - 10
8002,married,sometimes,yes,2.0,school_bus,< 5
8003,married,sometimes,yes,,school_bus,
8004,married,regularly,no,2.0,school_bus,
8005,single,regularly,no,4.0,school_bus,5 - 10
8006,married,sometimes,yes,4.0,school_bus,< 5
8007,married,sometimes,yes,4.0,private,5 - 10
8008,married,sometimes,yes,2.0,school_bus,5 - 10
8009,married,regularly,yes,0.0,private,> 10
8010,married,regularly,,2.0,school_bus,5 - 10
8011,married,sometimes,yes,2.0,private,< 5
8012,married,sometimes,yes,0.0,school_bus,5 - 10
8013,married,regularly,yes,3.0,school_bus,5 - 10
8014,married,sometimes,no,3.0,school_bus,5 - 10
8015,married,regularly,yes,1.0,school_bus,5 - 10
8016,married,never,yes,1.0,private,5 - 10
8017,married,never,no,1.0,,5 - 10
8018,single,sometimes,no,3.0,school_bus,5 - 10
8019,married,sometimes,yes,0.0,school_bus,< 5
8020,married,regularly,yes,1.0,school_bus,> 10
8021,divorced,sometimes,yes,2.0,private,5 - 10
8022,single,regularly,yes,2.0,,< 5
8023,married,regularly,no,1.0,school_bus,5 - 10
8024,married,sometimes,yes,0.0,school_bus,> 10
8025,divorced,never,yes,4.0,school_bus,< 5
8026,single,sometimes,,3.0,school_bus,5 - 10
8027,married,regularly,no,1.0,school_bus,5 - 10
8028,married,regularly,no,2.0,school_bus,5 - 10
8029,,regularly,yes,3.0,private,5 - 10
8030,married,sometimes,yes,1.0,private,5 - 10
8031,widowed,sometimes,yes,0.0,private,> 10
8032,married,regularly,yes,4.0,school_bus,> 10
8033,divorced,regularly,yes,2.0,school_bus,< 5
8034,single,never,yes,3.0,private,> 10
8035,married,never,no,2.0,private,< 5
8036,divorced,,no,2.0,,< 5
8037,married,regularly,yes,2.0,school_bus,5 - 10
8038,married,sometimes,no,1.0,private,> 10
8039,single,never,yes,1.0,school_bus,< 5
8040,single,sometimes,,3.0,school_bus,< 5
8041,divorced,regularly,,2.0,school_bus,5 - 10
8042,married,regularly,yes,2.0,school_bus,5 - 10
8043,married,never,yes,4.0,private,
8044,divorced,regularly,yes,1.0,school_bus,5 - 10
8045,married,sometimes,no,1.0,school_bus,5 - 10
8046,married,regularly,yes,2.0,private,5 - 10
8047,single,regularly,yes,2.0,private,5 - 10
8048,single,regularly,yes,3.0,school_bus,5 - 10
8049,divorced,sometimes,yes,3.0,school_bus,5 - 10
8050,single,sometimes,,0.0,school_bus,> 10
8051,,never,yes,,school_bus,5 - 10
8052,married,sometimes,yes,1.0,school_bus,5 - 10
8053,married,sometimes,no,1.0,private,5 - 10
8054,divorced,sometimes,yes,2.0,school_bus,5 - 10
8055,single,never,yes,2.0,private,5 - 10
8056,married,regularly,yes,1.0,,> 10
8057,single,regularly,yes,3.0,private,5 - 10
8058,married,,no,4.0,private,5 - 10
8059,married,regularly,yes,3.0,school_bus,< 5
8060,married,regularly,yes,2.0,school_bus,> 10
8061,married,sometimes,no,4.0,school_bus,< 5
8062,single,never,yes,3.0,private,> 10
8063,married,never,no,,private,> 10
8064,married,,yes,3.0,,> 10
8065,married,sometimes,no,3.0,private,< 5
8066,married,sometimes,no,1.0,school_bus,5 - 10
8067,divorced,sometimes,no,1.0,school_bus,> 10
8068,married,sometimes,yes,0.0,school_bus,5 - 10
8069,married,sometimes,yes,3.0,private,5 - 10
8070,married,sometimes,yes,4.0,school_bus,5 - 10
8071,single,never,yes,1.0,private,> 10
8072,divorced,sometimes,yes,0.0,school_bus,> 10
8073,married,sometimes,yes,,school_bus,< 5
8074,single,regularly,no,1.0,school_bus,< 5
8075,married,sometimes,no,1.0,,5 - 10
8076,married,regularly,,3.0,private,5 - 10
8077,married,sometimes,yes,3.0,school_bus,5 - 10
8078,married,regularly,yes,,school_bus,> 10
8079,single,regularly,yes,3.0,school_bus,< 5
8080,married,regularly,no,2.0,private,5 - 10
8081,single,regularly,yes,2.0,school_bus,< 5
8082,married,sometimes,yes,3.0,,< 5
8083,married,regularly,no,1.0,school_bus,5 - 10
8084,single,sometimes,yes,2.0,school_bus,5 - 10
8085,single,sometimes,no,3.0,school_bus,< 5
8086,divorced,sometimes,no,,school_bus,< 5
8087,married,regularly,yes,2.0,school_bus,< 5
8088,single,sometimes,no,4.0,,< 5
8089,married,sometimes,yes,0.0,school_bus,< 5
8090,single,regularly,no,,school_bus,> 10
8091,single,sometimes,yes,4.0,,5 - 10
8092,married,sometimes,yes,1.0,private,5 - 10
8093,married,sometimes,no,4.0,school_bus,< 5
8094,single,,yes,1.0,,> 10
8095,single,regularly,yes,1.0,school_bus,5 - 10
8096,single,regularly,yes,3.0,school_bus,5 - 10
8097,married,regularly,no,4.0,school_bus,5 - 10
8098,married,regularly,yes,4.0,school_bus,5 - 10
8099,married,sometimes,yes,5.0,private,5 - 10
8100,single,regularly,yes,2.0,private,< 5
8101,married,sometimes,yes,5.0,school_bus,5 - 10
8102,single,regularly,yes,3.0,private,5 - 10
8103,single,sometimes,yes,2.0,private,5 - 10
8104,married,sometimes,yes,3.0,school_bus,5 - 10
8105,married,sometimes,yes,4.0,private,> 10
8106,single,sometimes,yes,4.0,school_bus,> 10
8107,married,sometimes,yes,2.0,school_bus,5 - 10
8108,married,sometimes,no,,school_bus,< 5
8109,married,sometimes,yes,0.0,private,5 - 10
8110,married,regularly,yes,1.0,,5 - 10
8111,married,sometimes,yes,1.0,private,5 - 10
8112,single,sometimes,no,3.0,school_bus,
8113,divorced,sometimes,yes,1.0,private,5 - 10
8114,married,sometimes,yes,1.0,school_bus,5 - 10
8115,married,regularly,yes,2.0,,< 5
8116,single,sometimes,no,3.0,school_bus,< 5
8117,married,sometimes,no,3.0,school_bus,> 10
8118,married,regularly,no,2.0,private,> 10
8119,widowed,never,no,1.0,school_bus,5 - 10
8120,married,sometimes,yes,3.0,private,> 10
8121,single,never,no,3.0,school_bus,> 10
8122,married,sometimes,no,1.0,school_bus,> 10
8123,divorced,sometimes,yes,4.0,private,< 5
8124,married,sometimes,no,2.0,school_bus,5 - 10
8125,married,regularly,no,,private,5 - 10
8126,single,sometimes,yes,0.0,private,< 5
8127,married,never,yes,5.0,private,> 10
8128,single,sometimes,no,1.0,private,
8129,single,sometimes,no,1.0,,5 - 10
8130,divorced,sometimes,no,1.0,school_bus,< 5
8131,married,regularly,yes,1.0,private,< 5
8132,married,regularly,no,,private,< 5
8133,married,regularly,yes,4.0,school_bus,< 5
8134,married,sometimes,yes,1.0,private,5 - 10
8135,single,sometimes,yes,3.0,,> 10
8136,married,sometimes,,4.0,school_bus,5 - 10
8137,married,regularly,no,3.0,,5 - 10
8138,married,sometimes,yes,1.0,private,< 5
8139,widowed,regularly,yes,3.0,private,> 10
8140,,sometimes,yes,2.0,private,5 - 10
8141,married,sometimes,no,,school_bus,> 10
8142,single,sometimes,yes,0.0,private,5 - 10
8143,single,sometimes,no,1.0,private,5 - 10
8144,married,sometimes,yes,2.0,school_bus,< 5
8145,divorced,regularly,yes,1.0,school_bus,> 10
8146,,sometimes,yes,1.0,school_bus,< 5
8147,married,regularly,yes,2.0,school_bus,5 - 10
8148,single,sometimes,yes,2.0,school_bus,> 10
8149,married,regularly,yes,1.0,school_bus,5 - 10
8150,divorced,sometimes,no,2.0,school_bus,< 5
8151,married,regularly,yes,0.0,school_bus,> 10
8152,married,never,yes,3.0,school_bus,5 - 10
8153,single,never,no,3.0,school_bus,< 5
8154,married,regularly,yes,,school_bus,5 - 10
8155,divorced,never,yes,,school_bus,< 5
8156,,sometimes,yes,3.0,school_bus,5 - 10
8157,single,sometimes,no,1.0,school_bus,< 5
8158,single,sometimes,yes,1.0,school_bus,5 - 10
8159,married,sometimes,no,2.0,private,> 10
8160,married,,yes,3.0,,5 - 10
8161,married,regularly,yes,3.0,private,> 10
8162,married,sometimes,no,4.0,school_bus,< 5
8163,single,sometimes,no,1.0,school_bus,5 - 10
8164,widowed,sometimes,no,5.0,school_bus,5 - 10
8165,,regularly,no,1.0,private,5 - 10
8166,divorced,regularly,no,3.0,school_bus,5 - 10
8167,single,regularly,yes,0.0,private,< 5
8168,married,regularly,yes,1.0,school_bus,5 - 10
8169,married,never,yes,2.0,school_bus,5 - 10
8170,widowed,regularly,yes,1.0,,5 - 10
8171,married,regularly,yes,3.0,school_bus,5 - 10
8172,divorced,regularly,yes,2.0,private,< 5
8173,single,sometimes,no,1.0,private,5 - 10
8174,married,sometimes,no,2.0,school_bus,> 10
8175,widowed,sometimes,yes,2.0,school_bus,> 10
8176,married,regularly,yes,4.0,private,< 5
8177,married,regularly,yes,2.0,private,5 - 10
8178,single,sometimes,yes,0.0,private,< 5
8179,married,sometimes,no,4.0,,< 5
8180,married,sometimes,no,5.0,school_bus,5 - 10
8181,married,regularly,yes,1.0,school_bus,< 5
8182,married,sometimes,yes,4.0,private,< 5
8183,divorced,sometimes,no,1.0,school_bus,< 5
8184,married,sometimes,yes,1.0,school_bus,5 - 10
8185,married,never,yes,,school_bus,< 5
8186,married,never,yes,1.0,private,5 - 10
8187,divorced,regularly,yes,1.0,school_bus,5 - 10
8188,divorced,never,yes,4.0,school_bus,5 - 10
8189,married,regularly,yes,5.0,school_bus,5 - 10
8190,married,sometimes,yes,2.0,private,< 5
8191,married,sometimes,yes,3.0,school_bus,> 10
8192,single,sometimes,no,3.0,school_bus,5 - 10
8193,married,sometimes,no,1.0,,> 10
8194,married,sometimes,yes,1.0,private,> 10
8195,married,regularly,yes,3.0,school_bus,5 - 10
8196,widowed,never,yes,3.0,private,5 - 10
8197,divorced,sometimes,no,2.0,private,5 - 10
8198,married,regularly,yes,,private,5 - 10
8199,divorced,sometimes,no,2.0,school_bus,> 10
8200,married,never,yes,1.0,private,> 10
8201,single,sometimes,yes,4.0,private,5 - 10
8202,single,never,,3.0,private,< 5
8203,divorced,regularly,no,2.0,private,5 - 10
8204,divorced,sometimes,no,2.0,school_bus,5 - 10
8205,married,sometimes,yes,,school_bus,5 - 10
8206,married,sometimes,yes,2.0,school_bus,> 10
8207,married,,,0.0,school_bus,5 - 10
8208,married,sometimes,yes,4.0,school_bus,5 - 10
8209,divorced,sometimes,no,1.0,school_bus,< 5
8210,divorced,,yes,0.0,school_bus,< 5
8211,married,sometimes,yes,2.0,private,< 5
8212,married,regularly,yes,3.0,school_bus,
8213,married,never,yes,2.0,school_bus,< 5
8214,married,regularly,no,3.0,school_bus,< 5
8215,married,sometimes,no,2.0,private,< 5
8216,married,sometimes,yes,1.0,school_bus,5 - 10
8217,married,sometimes,no,1.0,school_bus,> 10
8218,married,never,yes,3.0,school_bus,5 - 10
8219,single,regularly,yes,3.0,school_bus,5 - 10
8220,widowed,regularly,no,1.0,,5 - 10
8221,married,sometimes,yes,2.0,private,5 - 10
8222,divorced,sometimes,yes,1.0,school_bus,5 - 10
8223,divorced,sometimes,yes,0.0,private,< 5
8224,married,regularly,,2.0,school_bus,> 10
8225,married,sometimes,,0.0,,5 - 10
8226,married,regularly,yes,2.0,private,< 5
8227,married,regularly,yes,1.0,private,5 - 10
8228,single,sometimes,,3.0,school_bus,5 - 10
8229,married,never,yes,1.0,private,< 5
8230,married,regularly,yes,7.0,school_bus,< 5
8231,single,regularly,yes,3.0,school_bus,5 - 10
8232,,regularly,yes,0.0,private,
8233,divorced,regularly,yes,4.0,school_bus,5 - 10
8234,married,sometimes,no,1.0,school_bus,5 - 10
8235,married,sometimes,no,2.0,school_bus,5 - 10
8236,married,sometimes,yes,1.0,school_bus,5 - 10
8237,divorced,sometimes,,0.0,school_bus,5 - 10
8238,divorced,never,no,,school_bus,< 5
8239,,never,no,1.0,private,5 - 10
8240,married,regularly,yes,3.0,school_bus,5 - 10
8241,married,sometimes,no,1.0,school_bus,5 - 10
8242,single,sometimes,yes,1.0,school_bus,5 - 10
8243,widowed,never,yes,0.0,private,5 - 10
8244,married,never,yes,2.0,school_bus,< 5
8245,divorced,sometimes,yes,5.0,private,< 5
8246,married,sometimes,no,4.0,private,< 5
8247,married,sometimes,no,4.0,private,5 - 10
8248,married,regularly,yes,1.0,private,> 10
8249,married,sometimes,yes,1.0,school_bus,
8250,divorced,regularly,yes,3.0,private,< 5
8251,single,regularly,yes,0.0,school_bus,> 10
8252,married,never,yes,2.0,private,> 10
8253,,never,yes,1.0,school_bus,< 5
8254,married,never,no,3.0,private,> 10
8255,married,sometimes,yes,0.0,private,5 - 10
8256,divorced,never,yes,2.0,private,
8257,single,sometimes,no,3.0,school_bus,5 - 10
8258,single,sometimes,yes,,school_bus,5 - 10
8259,single,sometimes,no,1.0,school_bus,5 - 10
8260,married,sometimes,no,2.0,school_bus,< 5
8261,married,,no,1.0,school_bus,5 - 10
8262,single,sometimes,yes,3.0,school_bus,> 10
8263,divorced,sometimes,no,1.0,school_bus,< 5
8264,married,sometimes,yes,4.0,private,5 - 10
8265,single,regularly,yes,4.0,private,5 - 10
8266,married,regularly,yes,1.0,school_bus,< 5
8267,single,regularly,no,1.0,school_bus,< 5
8268,single,sometimes,yes,1.0,school_bus,< 5
8269,married,regularly,yes,0.0,school_bus,< 5
8270,single,sometimes,yes,2.0,school_bus,< 5
8271,single,never,yes,1.0,school_bus,5 - 10
8272,single,sometimes,no,1.0,private,> 10
8273,divorced,never,no,3.0,school_bus,< 5
8274,married,sometimes,yes,3.0,school_bus,> 10
8275,divorced,regularly,yes,2.0,school_bus,
8276,single,sometimes,yes,0.0,private,5 - 10
8277,married,regularly,no,1.0,private,5 - 10
8278,,regularly,no,4.0,school_bus,> 10
8279,married,sometimes,yes,1.0,private,< 5
8280,divorced,sometimes,no,4.0,private,> 10
8281,divorced,sometimes,yes,,school_bus,5 - 10
8282,single,sometimes,,2.0,private,5 - 10
8283,married,sometimes,yes,0.0,school_bus,> 10
8284,married,sometimes,yes,3.0,school_bus,5 - 10
8285,divorced,regularly,yes,0.0,school_bus,5 - 10
8286,married,sometimes,no,2.0,school_bus,5 - 10
8287,single,sometimes,no,3.0,private,5 - 10
8288,married,sometimes,yes,0.0,school_bus,5 - 10
8289,married,regularly,no,5.0,private,> 10
8290,single,,yes,1.0,school_bus,< 5
8291,married,regularly,no,2.0,private,5 - 10
8292,married,sometimes,yes,1.0,private,5 - 10
8293,married,never,yes,1.0,private,5 - 10
8294,married,regularly,no,2.0,private,5 - 10
8295,married,sometimes,no,1.0,school_bus,> 10
8296,single,,yes,7.0,school_bus,< 5
8297,married,sometimes,no,3.0,private,5 - 10
8298,married,never,no,,private,< 5
8299,divorced,sometimes,yes,2.0,,
8300,single,never,yes,1.0,,< 5
8301,married,never,yes,0.0,school_bus,5 - 10
8302,single,sometimes,yes,1.0,school_bus,> 10
8303,single,sometimes,no,2.0,private,5 - 10
8304,divorced,never,yes,2.0,,> 10
8305,married,sometimes,yes,0.0,,5 - 10
8306,single,sometimes,yes,1.0,,5 - 10
8307,married,regularly,yes,0.0,school_bus,5 - 10
8308,married,never,yes,1.0,private,
8309,married,never,no,2.0,school_bus,5 - 10
8310,married,regularly,yes,3.0,,< 5
8311,married,sometimes,no,1.0,private,> 10
8312,married,sometimes,yes,1.0,private,< 5
8313,single,never,no,5.0,private,< 5
8314,married,sometimes,yes,,school_bus,5 - 10
8315,married,never,yes,0.0,private,< 5
8316,married,sometimes,no,3.0,private,5 - 10
8317,married,sometimes,yes,3.0,school_bus,< 5
8318,married,sometimes,yes,3.0,school_bus,> 10
8319,married,never,,0.0,private,< 5
8320,divorced,regularly,yes,3.0,private,5 - 10
8321,married,sometimes,yes,0.0,school_bus,< 5
8322,divorced,never,yes,0.0,school_bus,5 - 10
8323,married,sometimes,yes,4.0,,5 - 10
8324,married,sometimes,yes,1.0,school_bus,< 5
8325,single,,no,1.0,private,5 - 10
8326,married,regularly,no,1.0,private,< 5
8327,married,sometimes,yes,3.0,private,< 5
8328,divorced,,no,1.0,private,5 - 10
8329,married,regularly,no,3.0,private,> 10
8330,married,sometimes,no,,private,
8331,married,regularly,yes,3.0,school_bus,> 10
8332,married,regularly,yes,,private,> 10
8333,single,sometimes,yes,2.0,private,< 5
8334,divorced,sometimes,yes,1.0,school_bus,< 5
8335,married,sometimes,no,,private,5 - 10
8336,married,sometimes,no,1.0,school_bus,5 - 10
8337,single,never,no,4.0,school_bus,< 5
8338,,sometimes,yes,1.0,private,5 - 10
8339,married,sometimes,no,4.0,,5 - 10
8340,married,sometimes,yes,3.0,private,5 - 10
8341,divorced,regularly,yes,2.0,private,5 - 10
8342,married,regularly,yes,1.0,private,< 5
8343,single,sometimes,yes,0.0,school_bus,< 5
8344,married,regularly,no,4.0,private,< 5
8345,divorced,regularly,yes,0.0,school_bus,5 - 10
8346,divorced,sometimes,yes,,school_bus,< 5
8347,married,regularly,yes,2.0,school_bus,> 10
8348,married,regularly,yes,1.0,school_bus,< 5
8349,single,sometimes,yes,3.0,private,> 10
8350,married,sometimes,,,private,5 - 10
8351,single,sometimes,yes,2.0,private,< 5
8352,single,sometimes,no,1.0,school_bus,
8353,,sometimes,yes,2.0,,5 - 10
8354,married,regularly,yes,3.0,private,5 - 10
8355,married,regularly,yes,,private,< 5
8356,single,regularly,yes,3.0,school_bus,< 5
8357,married,sometimes,no,3.0,private,5 - 10
8358,single,regularly,yes,1.0,school_bus,5 - 10
8359,single,sometimes,yes,3.0,school_bus,< 5
8360,married,regularly,yes,,school_bus,< 5
8361,married,sometimes,yes,1.0,private,< 5
8362,single,sometimes,yes,,school_bus,5 - 10
8363,married,sometimes,yes,2.0,school_bus,5 - 10
8364,married,sometimes,no,3.0,school_bus,< 5
8365,married,sometimes,,2.0,school_bus,< 5
8366,married,never,no,3.0,school_bus,
8367,divorced,regularly,yes,0.0,school_bus,5 - 10
8368,divorced,regularly,yes,0.0,school_bus,< 5
8369,divorced,,yes,4.0,school_bus,< 5
8370,married,sometimes,no,2.0,school_bus,> 10
8371,married,sometimes,yes,0.0,school_bus,< 5
8372,divorced,never,no,2.0,private,> 10
8373,,sometimes,yes,3.0,school_bus,< 5
8374,divorced,sometimes,no,4.0,private,5 - 10
8375,married,regularly,,0.0,school_bus,< 5
8376,,sometimes,yes,1.0,school_bus,< 5
8377,married,sometimes,yes,4.0,school_bus,5 - 10
8378,divorced,sometimes,yes,,,5 - 10
8379,single,sometimes,no,2.0,private,5 - 10
8380,married,regularly,no,5.0,private,< 5
8381,married,regularly,yes,,school_bus,> 10
8382,divorced,sometimes,yes,1.0,school_bus,> 10
8383,married,sometimes,no,1.0,school_bus,5 - 10
8384,widowed,sometimes,yes,0.0,school_bus,5 - 10
8385,married,regularly,yes,,private,5 - 10
8386,married,regularly,yes,3.0,school_bus,< 5
8387,married,never,yes,2.0,school_bus,5 - 10
8388,divorced,never,yes,0.0,school_bus,5 - 10
8389,divorced,sometimes,no,1.0,private,
8390,divorced,regularly,yes,3.0,private,5 - 10
8391,divorced,never,no,1.0,private,< 5
8392,married,regularly,yes,0.0,school_bus,5 - 10
8393,single,regularly,yes,1.0,,
8394,single,regularly,yes,3.0,,5 - 10
8395,married,never,yes,1.0,private,< 5
8396,married,regularly,no,1.0,school_bus,< 5
8397,married,sometimes,no,1.0,private,< 5
8398,married,regularly,yes,1.0,,< 5
8399,divorced,regularly,yes,2.0,private,5 - 10
8400,single,sometimes,,,private,5 - 10
8401,married,sometimes,yes,6.0,private,5 - 10
8402,divorced,sometimes,yes,2.0,private,5 - 10
8403,married,never,yes,0.0,private,5 - 10
8404,married,regularly,yes,2.0,school_bus,5 - 10
8405,married,never,yes,5.0,private,> 10
8406,single,sometimes,yes,0.0,,< 5
8407,married,sometimes,yes,1.0,,> 10
8408,married,regularly,no,3.0,school_bus,5 - 10
8409,married,sometimes,yes,2.0,school_bus,< 5
8410,married,regularly,no,3.0,school_bus,5 - 10
8411,divorced,regularly,yes,0.0,private,< 5
8412,single,sometimes,yes,0.0,school_bus,5 - 10
8413,married,sometimes,no,4.0,private,> 10
8414,married,sometimes,yes,6.0,private,5 - 10
8415,married,sometimes,no,3.0,private,> 10
8416,single,regularly,yes,1.0,private,< 5
8417,divorced,sometimes,yes,2.0,school_bus,5 - 10
8418,single,sometimes,yes,1.0,school_bus,> 10
8419,married,regularly,no,5.0,school_bus,> 10
8420,divorced,sometimes,yes,2.0,private,5 - 10
8421,widowed,sometimes,yes,2.0,private,5 - 10
8422,married,,yes,1.0,school_bus,5 - 10
8423,single,sometimes,yes,3.0,private,5 - 10
8424,divorced,regularly,no,1.0,school_bus,
8425,divorced,sometimes,yes,2.0,private,5 - 10
8426,single,sometimes,yes,1.0,,< 5
8427,single,regularly,no,4.0,school_bus,5 - 10
8428,divorced,sometimes,yes,1.0,private,> 10
8429,single,sometimes,yes,3.0,school_bus,5 - 10
8430,married,sometimes,yes,4.0,private,5 - 10
8431,married,regularly,yes,1.0,,> 10
8432,married,regularly,yes,4.0,private,5 - 10
8433,married,sometimes,no,4.0,school_bus,> 10
8434,single,sometimes,yes,2.0,school_bus,5 - 10
8435,divorced,regularly,yes,5.0,private,< 5
8436,single,regularly,yes,2.0,school_bus,5 - 10
8437,single,sometimes,no,1.0,private,5 - 10
8438,married,sometimes,yes,2.0,school_bus,< 5
8439,divorced,never,yes,3.0,school_bus,5 - 10
8440,divorced,regularly,no,1.0,private,5 - 10
8441,single,regularly,yes,3.0,school_bus,< 5
8442,divorced,regularly,yes,1.0,private,5 - 10
8443,single,sometimes,no,3.0,school_bus,5 - 10
8444,married,sometimes,yes,4.0,private,> 10
8445,single,sometimes,no,1.0,private,5 - 10
8446,married,sometimes,yes,1.0,school_bus,< 5
8447,married,sometimes,no,2.0,school_bus,5 - 10
8448,,regularly,yes,2.0,school_bus,5 - 10
8449,single,never,no,3.0,,5 - 10
8450,single,sometimes,no,1.0,private,> 10
8451,divorced,regularly,yes,2.0,school_bus,5 - 10
8452,single,,yes,1.0,school_bus,> 10
8453,married,regularly,no,1.0,school_bus,< 5
8454,married,never,yes,3.0,private,5 - 10
8455,married,sometimes,no,1.0,private,< 5
8456,married,regularly,yes,0.0,school_bus,5 - 10
8457,married,regularly,yes,1.0,school_bus,< 5
8458,single,sometimes,no,7.0,school_bus,5 - 10
8459,single,sometimes,yes,3.0,school_bus,5 - 10
8460,married,sometimes,no,2.0,private,> 10
8461,married,sometimes,yes,3.0,private,5 - 10
8462,married,sometimes,no,4.0,private,> 10
8463,divorced,regularly,yes,6.0,school_bus,5 - 10
8464,single,sometimes,no,2.0,school_bus,5 - 10
8465,divorced,sometimes,yes,4.0,school_bus,> 10
8466,married,regularly,yes,1.0,school_bus,5 - 10
8467,single,regularly,yes,4.0,school_bus,< 5
8468,single,sometimes,no,1.0,private,> 10
8469,married,sometimes,yes,4.0,school_bus,< 5
8470,married,sometimes,yes,1.0,school_bus,> 10
8471,married,sometimes,yes,3.0,school_bus,
8472,married,regularly,yes,3.0,private,> 10
